time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001088,0.4530,0.2290,-0.7220,0.883
0.002422,0.2420,0.2540,-0.5720,0.671
0.006217,0.1300,0.2130,-0.4220,0.490
0.012202,0.1160,0.1590,-0.3130,0.370
0.017182,0.1450,0.0750,-0.2710,0.316
0.020522,0.1710,0.0630,-0.2300,0.293
0.029504,0.1050,0.0380,-0.1760,0.208
0.030392,0.0380,0.0270,-0.1080,0.118
0.034996,-0.0510,0.0010,-0.0670,0.084
0.039502,-0.0890,-0.0100,-0.0120,0.090
0.044277,-0.0870,-0.0360,0.0410,0.103
0.049150,-0.1110,-0.0350,0.0820,0.142
0.053945,-0.1020,-0.0080,0.1220,0.159
0.060199,-0.0990,-0.0360,0.1210,0.160
0.063226,-0.0850,-0.0090,0.1210,0.148
0.067605,-0.0710,0.0030,0.1070,0.128
0.072922,-0.0670,0.0270,0.0930,0.118
0.077556,-0.0270,0.0120,0.0790,0.084
0.083422,-0.0160,0.0240,0.0390,0.049
0.087336,0.0340,0.0100,0.0250,0.043
0.096065,0.0290,0.0090,-0.0140,0.033
0.096992,0.0400,0.0080,-0.0140,0.043
0.104441,0.0510,0.0080,-0.0270,0.058
0.105860,0.0900,-0.0040,-0.0410,0.099
0.111019,0.0950,-0.0040,-0.0540,0.109
0.122013,0.0930,-0.0030,-0.0400,0.101
0.123259,0.1060,-0.0030,-0.0530,0.119
0.125225,0.0780,0.0100,-0.0400,0.088
0.129443,0.0730,0.0100,-0.0390,0.083
0.134271,0.0460,0.0100,-0.0390,0.061
0.139151,0.0320,0.0100,-0.0260,0.042
0.144347,0.0330,-0.0030,-0.0390,0.051
0.149162,-0.0060,0.0090,-0.0120,0.016
0.153272,-0.0200,0.0090,-0.0390,0.045
0.157916,-0.0330,-0.0180,-0.0260,0.046
0.162529,-0.0470,0.0080,-0.0120,0.049
0.167517,-0.0690,0.0080,-0.0130,0.071
0.173816,-0.0550,-0.0050,0.0000,0.055
0.176717,-0.0560,-0.0060,0.0000,0.056
0.182521,-0.0420,-0.0060,0.0000,0.042
0.186422,-0.0270,0.0050,0.0000,0.027
0.191159,-0.0410,0.0050,0.0130,0.043
0.195771,-0.0280,0.0040,0.0000,0.028
0.200502,-0.0150,0.0180,-0.0130,0.027
0.205350,-0.0020,0.0290,0.0000,0.029
0.209945,0.0100,0.0150,-0.0130,0.022
0.219768,0.0090,0.0290,0.0000,0.030
0.220301,-0.0040,0.0420,-0.0130,0.044
0.224111,0.0070,0.0270,0.0000,0.028
0.229434,0.0200,0.0140,0.0000,0.024
0.233911,0.0060,0.0140,0.0130,0.020
0.238646,0.0060,0.0140,0.0410,0.044
0.243325,-0.0070,0.0010,0.0130,0.015
0.248218,-0.0070,0.0010,0.0270,0.028
0.252700,-0.0070,0.0010,0.0270,0.028
0.257372,-0.0070,0.0020,0.0410,0.042
0.262193,-0.0190,-0.0100,0.0410,0.046
0.266954,-0.0050,-0.0100,0.0410,0.042
0.271659,-0.0190,0.0020,0.0410,0.045
0.276329,-0.0330,0.0020,0.0270,0.043
0.281316,-0.0050,0.0270,0.0130,0.030
0.285557,-0.0050,0.0130,0.0130,0.019
0.290554,-0.0200,0.0130,0.0000,0.024
0.295292,-0.0200,0.0260,-0.0130,0.035
0.300078,-0.0200,0.0240,-0.0270,0.041
0.306495,-0.0210,0.0230,-0.0410,0.051
0.309386,-0.0080,0.0090,-0.0410,0.043
0.314200,-0.0090,0.0090,-0.0410,0.043
0.319168,-0.0100,0.0080,-0.0410,0.043
0.327342,-0.0240,0.0080,-0.0400,0.047
0.328338,-0.0250,0.0080,-0.0400,0.048
0.333434,-0.0260,-0.0050,-0.0400,0.048
0.339204,-0.0250,-0.0040,-0.0400,0.047
0.343377,-0.0390,-0.0170,-0.0130,0.044
0.347225,-0.0120,-0.0040,-0.0130,0.018
0.352470,-0.0120,-0.0310,0.0000,0.033
0.357214,0.0000,-0.0160,0.0270,0.031
0.361819,0.0130,-0.0160,0.0410,0.046
0.366517,0.0400,-0.0160,0.0410,0.059
0.371399,0.0390,0.0110,0.0410,0.058
0.377775,0.0370,0.0100,0.0550,0.067
0.380521,0.0220,-0.0160,0.0550,0.061
0.385346,0.0080,-0.0030,0.0680,0.069
0.390482,-0.0040,-0.0300,0.0550,0.063
0.394815,-0.0040,-0.0160,0.0550,0.057
0.399476,-0.0170,-0.0030,0.0410,0.044
0.405273,-0.0450,-0.0030,0.0270,0.053
0.409173,-0.0310,-0.0170,0.0000,0.035
0.414137,-0.0550,-0.0040,-0.0130,0.057
0.418218,-0.0410,-0.0040,-0.0270,0.049
0.427441,-0.0140,-0.0040,-0.0130,0.020
0.428252,-0.0280,0.0220,-0.0260,0.044
0.432824,0.0100,0.0210,-0.0260,0.035
0.437661,-0.0170,0.0350,0.0000,0.039
0.444087,0.0090,0.0210,0.0270,0.035
0.446876,-0.0050,0.0350,0.0140,0.038
0.452150,0.0060,0.0200,-0.0130,0.025
0.456462,-0.0070,-0.0070,-0.0400,0.041
0.461495,0.0060,0.0050,-0.0670,0.067
0.465757,0.0190,0.0180,-0.1080,0.111
0.470497,0.0290,0.0300,-0.1210,0.128
