time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003156,0.0754,-0.0238,0.1538,0.173
0.003834,0.1001,-0.0336,0.1761,0.205
0.004367,0.1197,-0.0481,0.1602,0.206
0.004782,0.1054,-0.0339,0.1588,0.194
0.011915,0.0904,-0.0340,0.1526,0.181
0.012710,0.0937,-0.0483,0.1040,0.148
0.018015,0.1159,-0.0770,0.0228,0.141
0.027028,0.1239,-0.0676,-0.0196,0.142
0.027618,0.0606,-0.0202,0.0047,0.064
0.033410,-0.0112,0.0171,0.0335,0.039
0.038438,-0.0773,0.0161,-0.0139,0.080
0.043543,-0.1233,0.0341,-0.0418,0.135
0.048478,-0.1400,0.0423,-0.0363,0.151
0.054461,-0.1183,0.0363,0.0024,0.124
0.058560,-0.0970,0.0257,-0.0115,0.101
0.063632,-0.0854,0.0153,0.0031,0.087
0.071380,-0.0503,0.0002,0.0224,0.055
0.073002,-0.0680,-0.0053,0.0415,0.080
0.078532,-0.1047,0.0034,0.0604,0.121
0.085072,-0.1270,-0.0071,0.0460,0.135
0.089294,-0.0970,0.0062,-0.0063,0.097
0.095488,-0.0864,0.0148,-0.0296,0.092
0.098522,-0.0949,0.0140,-0.0337,0.102
0.105901,-0.0940,-0.0007,-0.0425,0.103
0.108627,-0.0885,0.0228,-0.0086,0.092
0.116133,-0.0831,-0.0014,0.0013,0.083
0.118155,-0.0729,-0.0158,0.0254,0.079
0.123440,-0.0579,-0.0206,0.0350,0.071
0.131108,-0.0618,-0.0302,0.0445,0.082
0.133510,-0.0560,-0.0161,0.0539,0.079
0.139906,-0.0598,-0.0070,0.0727,0.094
0.143765,-0.0446,0.0066,0.0772,0.089
0.150847,-0.0440,0.0010,0.0768,0.089
0.153493,-0.0246,0.0002,0.0907,0.094
0.158538,-0.0104,0.0088,0.0761,0.077
0.163781,-0.0013,0.0173,0.0283,0.033
0.171888,0.0030,0.0257,-0.0001,0.026
0.176700,0.0169,0.0294,-0.0235,0.041
0.180686,0.0168,0.0283,-0.0420,0.053
0.185788,-0.0020,0.0322,-0.0556,0.064
0.189529,-0.0203,0.0456,-0.0691,0.085
0.194319,-0.0145,0.0448,-0.0682,0.083
0.200718,-0.0179,0.0347,-0.0484,0.062
0.205512,-0.0165,0.0201,-0.0240,0.035
0.210503,-0.0198,0.0152,0.0145,0.029
0.213426,-0.0185,0.0200,0.0574,0.064
0.220164,-0.0176,-0.0040,0.0952,0.097
0.224857,-0.0028,-0.0183,0.0852,0.087
0.229367,0.0068,-0.0135,0.1085,0.110
0.235170,-0.0031,-0.0089,0.0984,0.099
0.238705,0.0059,-0.0092,0.0695,0.070
0.244601,0.0100,0.0047,0.0597,0.061
0.251512,0.0044,0.0092,0.0358,0.037
0.255484,0.0132,-0.0053,0.0216,0.026
0.262731,0.0268,-0.0101,0.0218,0.036
0.263375,0.0311,-0.0197,0.0172,0.041
0.268938,0.0450,-0.0103,0.0078,0.047
0.274679,0.0543,-0.0010,0.0128,0.056
0.278717,0.0589,-0.0059,0.0035,0.059
0.283371,0.0588,-0.0106,-0.0057,0.060
0.289477,0.0589,-0.0108,0.0041,0.060
0.293567,0.0591,-0.0013,0.0329,0.068
0.299405,0.0784,0.0032,0.0282,0.083
0.304320,0.0832,-0.0064,0.0235,0.087
0.309326,0.0834,0.0079,0.0330,0.090
0.314664,0.0788,0.0173,0.0473,0.094
0.319531,0.0694,0.0172,0.0709,0.101
0.323830,0.0504,0.0218,0.0896,0.105
0.328734,0.0456,0.0167,0.1082,0.119
0.334801,0.0120,0.0161,0.1266,0.128
0.338283,-0.0026,0.0249,0.1306,0.133
0.343828,-0.0127,0.0287,0.0919,0.097
0.350481,-0.0182,0.0276,0.0297,0.044
0.355599,-0.0047,0.0217,-0.0177,0.028
0.363166,-0.0054,0.0161,-0.0647,0.067
0.364041,-0.0105,0.0154,-0.1065,0.108
0.371573,-0.0200,0.0198,-0.1101,0.114
0.377332,-0.0384,0.0387,-0.1041,0.118
0.380737,-0.0422,0.0339,-0.0887,0.104
0.385713,-0.0505,0.0200,-0.0497,0.074
0.389904,-0.0490,0.0205,-0.0110,0.054
0.394949,-0.0430,-0.0027,0.0416,0.060
0.400445,-0.0229,-0.0258,0.0700,0.078
0.405284,-0.0032,-0.0393,0.1029,0.110
0.411103,0.0209,-0.0529,0.1261,0.138
0.414844,0.0350,-0.0570,0.1254,0.142
0.421394,0.0346,-0.0472,0.1484,0.160
0.425580,0.0293,-0.0281,0.1570,0.162
0.429985,0.0285,-0.0094,0.1275,0.131
0.437717,0.0372,0.0091,0.0746,0.084
0.441218,0.0364,0.0274,0.0315,0.055
0.446953,0.0263,0.0410,0.0031,0.049
0.450731,0.0261,0.0547,0.0034,0.061
0.455955,0.0262,0.0401,-0.0106,0.049
0.461220,0.0359,0.0353,0.0040,0.051
0.465851,0.0457,0.0210,0.0518,0.072
0.470488,0.0507,0.0021,0.0801,0.095
0.475316,0.0365,-0.0073,0.1130,0.119
0.481187,0.0315,-0.0168,0.1219,0.127
