time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001096,0.0450,0.1240,-0.8600,0.870
0.001359,-0.0040,0.0630,-0.7440,0.747
0.006431,-0.0420,0.0780,-0.6080,0.614
0.009712,-0.0680,0.0280,-0.4600,0.466
0.014626,-0.0410,0.0340,-0.2990,0.304
0.019362,-0.0140,-0.0010,-0.1100,0.111
0.024141,-0.0170,0.0050,0.0500,0.053
0.028551,0.0070,-0.0010,0.2380,0.238
0.035088,0.0310,-0.0220,0.4000,0.402
0.038776,0.0650,-0.0060,0.5300,0.534
0.042825,0.0760,-0.0290,0.6380,0.643
0.048263,0.0610,-0.0130,0.7190,0.722
0.052574,0.0610,-0.0540,0.7180,0.723
0.059426,0.0690,-0.0530,0.6720,0.678
0.062329,0.1090,-0.0540,0.5500,0.563
0.068240,0.1230,-0.0710,0.3880,0.413
0.071331,0.1780,-0.0760,0.1990,0.278
0.076219,0.1670,-0.0750,0.0350,0.186
0.081245,0.2070,-0.0650,-0.1260,0.251
0.085994,0.2080,-0.0410,-0.2060,0.296
0.090471,0.1950,-0.0580,-0.2600,0.330
0.095558,0.1820,-0.0230,-0.2580,0.317
0.101238,0.1810,-0.0380,-0.2440,0.306
0.105063,0.1260,-0.0380,-0.2300,0.265
0.109795,0.0700,-0.0370,-0.2170,0.231
0.114398,0.0520,-0.0120,-0.2160,0.222
0.118652,0.0360,-0.0110,-0.2030,0.206
0.123688,0.0210,-0.0090,-0.1490,0.151
0.128555,0.0060,0.0330,-0.0950,0.101
0.134512,-0.0330,0.0460,0.0000,0.057
0.137688,-0.0460,0.0340,0.0940,0.110
0.142583,-0.0730,0.0350,0.1750,0.193
0.147329,-0.0720,0.0220,0.2300,0.242
0.152078,-0.0790,0.0270,0.2830,0.295
0.156583,-0.0630,0.0000,0.2960,0.303
0.161899,-0.0200,0.0130,0.2690,0.270
0.166640,-0.0040,0.0110,0.2290,0.229
0.171270,-0.0280,0.0000,0.1190,0.122
0.175772,-0.0270,-0.0010,0.0380,0.047
0.180589,-0.0530,0.0100,-0.0420,0.068
0.185499,-0.0670,0.0090,-0.1230,0.140
0.189762,-0.0630,0.0170,-0.1620,0.175
0.195112,-0.0900,0.0160,-0.1760,0.198
0.198940,-0.0630,0.0150,-0.1350,0.150
0.203981,-0.0500,0.0150,-0.0940,0.108
0.208558,-0.0090,0.0130,-0.0520,0.054
0.213731,0.0160,0.0000,-0.0110,0.019
0.218164,0.0150,-0.0140,0.0020,0.021
0.222924,0.0270,-0.0140,0.0150,0.034
0.234446,0.0370,0.0000,0.0290,0.047
0.235312,0.0360,-0.0150,-0.0110,0.041
0.237161,0.0760,-0.0290,-0.0380,0.090
0.241694,0.0350,0.0100,-0.0780,0.086
0.246598,0.0060,0.0190,-0.1310,0.133
0.251348,-0.0200,0.0310,-0.1580,0.162
0.256159,-0.0610,0.0440,-0.1580,0.175
0.261140,-0.0600,0.0710,-0.1440,0.171
0.266083,-0.0300,0.0400,-0.1020,0.114
0.270834,-0.0300,0.0260,-0.0750,0.085
0.274847,-0.0020,0.0140,-0.0200,0.024
0.279937,-0.0020,0.0010,0.0050,0.005
0.285996,0.0100,0.0030,0.0320,0.034
0.291084,-0.0030,-0.0220,0.0720,0.075
0.294817,-0.0030,-0.0070,0.1130,0.113
0.299131,-0.0030,0.0210,0.1260,0.128
0.303821,-0.0160,0.0100,0.1380,0.139
0.307995,-0.0160,0.0120,0.0970,0.099
0.313004,-0.0160,0.0120,0.0560,0.059
0.317435,-0.0160,0.0130,0.0560,0.060
0.322631,-0.0150,0.0140,0.0690,0.072
0.332714,-0.0140,0.0550,0.0830,0.101
0.333685,-0.0130,0.0560,0.0960,0.112
0.337138,-0.0250,0.0830,0.1230,0.150
0.341407,-0.0610,0.0690,0.1640,0.188
0.346210,-0.0870,0.0420,0.1910,0.214
0.350870,-0.0730,0.0160,0.2050,0.218
0.355851,-0.0450,-0.0510,0.2320,0.242
0.360380,0.0080,-0.0820,0.2280,0.242
0.365097,0.0620,-0.1080,0.2140,0.248
0.370145,0.1290,-0.1220,0.1730,0.248
0.374658,0.1830,-0.1080,0.1460,0.258
0.379408,0.1970,-0.1120,0.1290,0.261
0.384394,0.1810,-0.0570,0.1290,0.229
0.388940,0.1270,-0.0580,0.0880,0.165
0.393775,0.0580,-0.0170,0.0610,0.086
0.398379,-0.0080,-0.0040,-0.0060,0.011
0.403205,-0.0630,0.0350,-0.0460,0.085
0.407443,-0.0900,0.0340,-0.1000,0.139
0.412266,-0.1040,0.0330,-0.1820,0.212
0.417020,-0.0710,0.0260,-0.2200,0.233
0.422864,-0.0300,-0.0010,-0.2610,0.263
0.432245,0.0090,-0.0020,-0.3010,0.301
0.432830,0.0370,-0.0290,-0.3010,0.305
0.436746,0.0470,-0.0330,-0.2860,0.292
0.440614,0.0340,-0.0610,-0.2450,0.255
0.445598,0.0350,-0.0340,-0.2450,0.250
0.450196,0.0350,-0.0190,-0.1910,0.195
0.455316,0.0080,0.0050,-0.1360,0.136
0.460538,-0.0040,0.0460,-0.0540,0.071
0.464301,-0.0310,0.0340,0.0120,0.048
0.469450,-0.0450,0.0490,0.0660,0.094
0.474009,-0.0560,0.0630,0.1480,0.170
0.478776,-0.0570,0.0640,0.1880,0.207
0.483252,-0.0990,0.0790,0.2560,0.286
0.488481,-0.0860,0.1060,0.3110,0.340
0.492670,-0.0820,0.0940,0.3100,0.334
0.497479,-0.0810,0.1070,0.2970,0.326
0.502521,-0.0810,0.0920,0.2560,0.284
0.507386,-0.0940,0.1040,0.1750,0.224
0.511949,-0.1000,0.0860,0.0950,0.163
0.516448,-0.1120,0.0700,0.0410,0.138
0.521640,-0.0840,0.0540,-0.0110,0.100
0.526619,-0.0960,0.0520,-0.0650,0.127
0.530719,-0.0380,0.0340,-0.0500,0.071
0.535770,-0.0230,0.0190,-0.0770,0.083
0.540393,0.0180,-0.0080,-0.0760,0.079
0.546943,0.0460,-0.0360,-0.0350,0.068
0.550417,0.0560,-0.0480,-0.0090,0.074
0.555830,0.0550,-0.0750,0.0040,0.093
0.559555,0.0540,-0.0880,0.0450,0.113
0.564068,0.0530,-0.0880,0.0720,0.125
0.569133,0.0490,-0.0940,0.0960,0.143
0.573660,0.0470,-0.0660,0.1100,0.137
0.578218,0.0450,-0.0660,0.0820,0.114
0.582882,0.0300,-0.0800,0.0420,0.095
0.587661,-0.0100,-0.0500,0.0000,0.051
0.592497,-0.0120,-0.0090,-0.0130,0.020
0.597110,0.0130,-0.0100,-0.0530,0.055
0.601924,0.0380,-0.0240,-0.0670,0.081
0.606809,0.0980,-0.0490,-0.0680,0.129
0.612605,0.1510,-0.0760,-0.0540,0.177
0.616759,0.1910,-0.0890,-0.0140,0.211
0.623524,0.1360,-0.1150,0.0120,0.179
0.625399,0.0640,-0.1050,0.1040,0.161
0.630223,0.0240,-0.1020,0.1990,0.225
0.635409,0.0000,-0.0460,0.2390,0.243
0.639872,-0.0260,-0.0450,0.2660,0.271
0.648315,-0.0100,0.0140,0.2230,0.224
0.648935,-0.0370,0.0290,0.1540,0.161
0.654030,-0.0650,0.0440,0.0310,0.084
0.659716,-0.0660,0.0450,-0.0770,0.111
0.663720,-0.0630,0.0150,-0.1440,0.158
0.668548,-0.0230,0.0030,-0.1850,0.186
0.673011,-0.0370,0.0310,-0.2130,0.218
0.677696,-0.0240,-0.0070,-0.2000,0.202
0.683022,-0.0350,0.0160,-0.1450,0.150
0.687448,-0.0620,0.0180,-0.0900,0.111
0.692418,-0.0620,0.0330,-0.0360,0.079
0.696747,-0.0470,0.0340,-0.0100,0.059
0.701152,-0.0570,0.0460,0.0030,0.073
0.705881,-0.0160,0.0470,-0.0230,0.055
0.710680,-0.0160,0.0350,-0.0640,0.075
0.716293,-0.0030,0.0220,-0.0920,0.095
0.720944,0.0210,-0.0040,-0.0920,0.094
0.725238,0.0340,-0.0030,-0.0790,0.086
0.729908,0.0330,-0.0160,-0.0250,0.044
0.739146,0.0730,-0.0280,0.0150,0.080
0.739573,0.0810,-0.0250,0.0550,0.101
0.744096,0.0520,-0.0510,0.0810,0.109
0.749361,0.0250,-0.0240,0.0950,0.101
0.753274,-0.0290,-0.0370,0.0950,0.106
0.758356,-0.0150,-0.0200,0.0940,0.097
0.763330,-0.0560,-0.0070,0.0670,0.088
0.767506,-0.0430,0.0060,0.0390,0.058
0.772190,-0.0420,0.0330,0.0120,0.055
0.777281,-0.0520,0.0430,-0.0130,0.069
0.781656,-0.0240,0.0840,-0.0260,0.091
0.786437,-0.0510,0.0570,-0.0400,0.086
0.791502,-0.0370,0.0980,-0.0540,0.118
0.796891,-0.0340,0.0790,-0.0660,0.108
0.800706,-0.0330,0.0530,-0.0520,0.081
0.805446,-0.0460,0.0810,-0.0660,0.114
0.810405,-0.0460,0.0420,-0.0530,0.082
0.814886,-0.0290,0.0400,-0.0390,0.063
0.819690,-0.0280,0.0000,-0.0390,0.048
0.824611,-0.0410,-0.0110,-0.0130,0.044
0.829677,-0.0260,0.0030,-0.0270,0.038
0.834513,-0.0110,0.0040,-0.0130,0.017
0.838530,-0.0240,-0.0070,0.0400,0.047
0.843438,-0.0100,0.0060,0.0530,0.054
0.847859,0.0020,0.0070,0.0390,0.040
0.853198,0.0140,0.0080,0.0250,0.030
0.857931,0.0130,-0.0170,-0.0010,0.021
0.862492,0.0000,-0.0580,-0.0150,0.060
0.866978,-0.0270,-0.0300,0.0650,0.077
0.872777,-0.0370,0.0130,0.1460,0.151
0.876636,-0.0210,-0.0130,0.2010,0.203
0.881363,0.0210,0.0260,0.1460,0.150
0.886091,0.0080,0.0670,0.1050,0.125
0.891161,-0.0040,0.0900,0.0660,0.112
0.895917,-0.0170,0.1030,0.0390,0.111
0.900425,-0.0030,0.0900,0.0250,0.093
0.905952,0.0110,0.0640,0.0520,0.083
0.909689,0.0360,0.0360,0.0520,0.073
0.914890,0.0500,0.0100,0.0650,0.083
0.919140,0.0500,-0.0010,0.0920,0.105
0.923907,0.0910,0.0000,0.1050,0.139
0.928624,0.0860,0.0020,0.1040,0.135
0.933425,0.0720,-0.0100,0.1040,0.127
0.938541,0.0320,0.0030,0.1310,0.135
0.942875,-0.0210,0.0310,0.1170,0.123
0.947705,-0.0570,0.0440,0.1040,0.126
0.952401,-0.0970,0.0710,0.0770,0.143
0.957440,-0.1380,0.0700,0.0360,0.159
0.962072,-0.1520,0.0700,0.0230,0.169
0.967047,-0.0910,0.0800,0.0650,0.137
0.972493,-0.0230,0.0520,0.1190,0.132
0.975946,0.0450,0.0250,0.1330,0.143
0.980822,0.0860,-0.0020,0.1740,0.194
0.985686,0.0810,-0.0370,0.1860,0.206
0.990241,0.1090,-0.0640,0.1580,0.202
0.995205,0.1230,-0.0920,0.1450,0.211
0.999860,0.0960,-0.1060,0.1180,0.185
1.005492,0.0520,-0.0990,0.1020,0.151
1.009445,0.0250,-0.0730,0.0750,0.108
1.013902,0.0390,-0.0870,0.0750,0.121
1.018750,0.0120,-0.0610,0.0760,0.098
1.023630,0.0230,-0.0320,0.0750,0.085
1.029033,0.0360,0.0070,0.0620,0.072
1.033470,-0.0050,0.0050,0.0350,0.036
1.038137,-0.0600,0.0170,0.0220,0.066
1.042857,-0.1210,0.0140,-0.0300,0.125
1.047642,-0.2170,0.0120,-0.0030,0.217
1.052532,-0.2190,0.0250,0.0510,0.226
1.056463,-0.2350,0.1050,0.0380,0.260
1.061352,-0.4010,0.1490,-0.0120,0.428
1.066241,-0.3600,0.1610,0.0560,0.398
1.071596,-0.2260,0.1730,0.0840,0.297
1.075350,-0.1460,0.1580,0.1250,0.249
1.080518,-0.0750,0.1120,0.1410,0.195
1.084997,-0.0480,0.0560,0.1550,0.172
1.089747,-0.0500,0.0130,0.1550,0.163
1.094612,-0.0240,-0.0280,0.1560,0.160
1.099319,0.0130,-0.0380,0.1540,0.159
1.105605,0.0660,-0.0380,0.1000,0.126
1.108885,0.0910,-0.0260,0.0740,0.120
1.113878,0.1420,-0.0150,0.0330,0.147
1.118135,0.1430,0.0080,-0.0190,0.144
1.122943,0.1250,-0.0060,-0.0730,0.145
1.128427,0.0950,0.0170,-0.1400,0.170
1.132752,0.0380,0.0010,-0.1800,0.184
1.140600,0.0330,-0.0050,-0.2320,0.234
1.141686,0.0040,-0.0210,-0.2580,0.259
1.147080,-0.0100,-0.0090,-0.2310,0.231
