time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000784,-0.0410,0.2170,-1.8710,1.884
0.005232,0.0090,0.1150,-1.6950,1.699
0.012353,0.0840,-0.0550,-1.3930,1.397
0.013180,0.0330,-0.2150,-0.9310,0.956
0.016684,-0.0760,-0.3180,-0.4020,0.518
0.022341,-0.1770,-0.3800,0.0870,0.428
0.027123,-0.1430,-0.3690,0.6000,0.719
0.033175,-0.1260,-0.3040,0.9630,1.018
0.036558,-0.1100,-0.2820,1.1360,1.176
0.041139,-0.1540,-0.1610,1.0790,1.102
0.045159,-0.1900,-0.0710,0.9260,0.948
0.050467,-0.1980,-0.0550,0.7470,0.775
0.055490,-0.2030,-0.0130,0.4740,0.516
0.060294,-0.1790,-0.0360,0.1590,0.242
0.072299,-0.1500,-0.0370,-0.0430,0.160
0.072808,-0.0240,-0.0810,-0.2190,0.235
0.074463,0.0480,-0.0970,-0.2990,0.318
0.079650,0.1170,-0.1280,-0.3530,0.393
0.083961,0.1920,-0.1570,-0.4330,0.499
0.087976,0.1840,-0.1720,-0.4740,0.537
0.093316,0.1390,-0.1870,-0.5280,0.577
0.105228,0.0320,-0.2130,-0.5420,0.583
0.105892,-0.0060,-0.1830,-0.5020,0.534
0.106626,-0.1150,-0.1920,-0.3950,0.454
0.112468,-0.1720,-0.1430,-0.2480,0.334
0.117127,-0.1730,-0.1230,-0.1140,0.241
0.122050,-0.1490,-0.1170,0.0320,0.192
0.128843,-0.1390,-0.1390,0.1250,0.233
0.131119,-0.1210,-0.1480,0.1450,0.240
0.139255,-0.0550,-0.1690,0.1830,0.255
0.141472,0.0090,-0.1910,0.1810,0.263
0.148887,0.0900,-0.2550,0.1930,0.332
0.155130,0.1340,-0.2590,0.2110,0.360
0.155706,0.2020,-0.2680,0.1810,0.381
0.164451,0.2170,-0.2790,0.2080,0.410
0.166463,0.1920,-0.2630,0.2340,0.401
0.171219,0.1540,-0.2250,0.3200,0.420
0.172794,0.0480,-0.1960,0.4820,0.523
0.177741,-0.5070,-0.1140,0.7820,0.939
0.188670,-0.4370,-0.0660,0.8560,0.963
0.189181,-0.2840,-0.0380,0.7880,0.838
0.193873,-0.1610,-0.0420,0.6940,0.714
0.203532,-0.0390,-0.0060,0.5320,0.533
0.204522,0.0260,-0.0160,0.3540,0.355
0.208245,0.0540,-0.0220,0.1930,0.202
0.212329,-0.0120,0.0110,0.0320,0.036
0.218089,-0.0090,0.0440,-0.0860,0.097
0.220538,-0.0550,0.0700,-0.1480,0.173
0.225962,-0.0210,0.0610,-0.2540,0.262
0.230972,-0.0140,0.1360,-0.2370,0.274
0.235662,-0.0060,0.1010,-0.2750,0.293
0.239506,0.0010,0.0950,-0.3070,0.321
0.245033,0.0100,0.0340,-0.2770,0.279
0.248653,-0.0360,-0.0110,-0.3160,0.318
0.254989,-0.0560,-0.0290,-0.3140,0.320
0.259446,-0.0830,-0.0380,-0.3230,0.336
0.263780,-0.1320,-0.0400,-0.3360,0.363
0.268650,-0.1810,-0.0280,-0.3620,0.406
0.275768,-0.1760,-0.0100,-0.3710,0.411
0.277438,-0.2380,0.0010,-0.4390,0.499
0.283329,-0.2610,0.0290,-0.4930,0.559
0.287532,-0.2980,0.0310,-0.5480,0.625
0.291231,-0.3110,0.0060,-0.5700,0.649
0.296402,-0.2930,-0.0040,-0.5030,0.582
0.307978,-0.3040,-0.0260,-0.3280,0.448
0.309544,-0.2870,-0.0470,-0.1530,0.329
0.311991,-0.2800,-0.0490,0.0600,0.291
0.316225,-0.2620,-0.0280,0.2210,0.344
0.321132,-0.2320,-0.0490,0.3270,0.404
0.325483,-0.1350,-0.0430,0.3660,0.392
0.330423,-0.0880,-0.0290,0.3610,0.373
0.334814,-0.0180,-0.0390,0.2910,0.294
0.339872,0.0650,-0.0380,0.1820,0.197
0.343563,0.1350,0.0020,0.0460,0.143
0.353622,0.1410,0.0390,-0.1430,0.205
0.354250,0.1310,0.0100,-0.2920,0.320
0.358423,0.1080,0.0890,-0.4000,0.424
0.363348,0.0570,0.0960,-0.5000,0.512
0.368395,-0.0310,0.1060,-0.5530,0.564
0.376156,-0.1200,0.1320,-0.5110,0.541
0.377430,-0.1400,0.1050,-0.4840,0.515
0.382166,-0.1610,0.0920,-0.3550,0.401
0.387530,-0.0980,0.0390,-0.2190,0.243
0.390728,-0.0380,0.0010,-0.1240,0.130
0.396591,0.0470,-0.0080,-0.0440,0.065
0.401173,0.1360,-0.0680,0.0190,0.153
0.405971,0.2170,-0.1170,0.0580,0.253
0.410632,0.2700,-0.0570,0.0560,0.282
0.416041,0.2950,0.0010,-0.0130,0.295
0.420299,0.2860,0.0550,-0.0410,0.294
0.424922,0.3070,0.1680,-0.0840,0.360
0.429688,0.3030,0.2530,-0.1400,0.419
0.433727,0.3000,0.3510,-0.1960,0.502
0.440053,0.2510,0.4310,-0.2530,0.559
0.445180,0.2230,0.5130,-0.2940,0.632
0.448496,0.1550,0.5670,-0.3900,0.705
0.453785,0.0970,0.5620,-0.4660,0.736
0.458014,0.0860,0.6240,-0.5450,0.833
0.462762,0.0630,0.6490,-0.6120,0.894
0.466213,0.1070,0.6890,-0.6660,0.964
0.474633,0.1040,0.6350,-0.6170,0.891
0.476907,0.1470,0.6440,-0.6150,0.903
0.481848,0.2020,0.5770,-0.5880,0.848
0.486529,0.2550,0.5530,-0.5760,0.838
0.491078,0.3000,0.4630,-0.4800,0.731
0.494831,0.3200,0.4510,-0.4130,0.690
0.500749,0.3830,0.4570,-0.3340,0.683
0.504958,0.4310,0.4510,-0.2690,0.679
0.510467,0.4090,0.3850,-0.1780,0.589
0.515452,0.3910,0.3650,-0.0730,0.540
0.519989,0.4140,0.3600,0.0180,0.549
0.524303,0.3470,0.3360,0.0890,0.491
0.527954,0.3030,0.2740,0.1550,0.437
0.533918,0.2630,0.2120,0.1930,0.389
0.537805,0.1830,0.2180,0.2180,0.359
0.543440,-0.0030,0.1790,0.2580,0.314
0.548042,-0.1490,0.1570,0.3240,0.390
0.553455,-0.2940,0.1890,0.4310,0.555
0.556904,-0.4530,0.2220,0.5930,0.779
0.562209,-0.5530,0.2450,0.7530,0.966
0.566799,-0.6020,0.3190,0.9420,1.163
0.579142,-0.6290,0.3380,1.1440,1.349
0.579993,-0.5640,0.3150,1.2920,1.445
0.581230,-0.4650,0.2530,1.3660,1.465
0.586298,-0.2940,0.2020,1.3780,1.423
0.589657,-0.1150,0.1360,1.2950,1.307
0.595448,0.0190,0.0680,1.1990,1.201
0.599128,0.1450,0.0350,1.0120,1.023
0.605014,0.2780,-0.0070,0.8490,0.893
0.610042,0.3140,0.0290,0.6190,0.695
0.614370,0.3550,0.0180,0.3980,0.534
0.619442,0.4170,0.0680,0.1680,0.455
0.624190,0.4550,0.1300,-0.0060,0.473
0.627656,0.4950,0.1630,-0.1800,0.551
0.633183,0.4640,0.2160,-0.3460,0.618
0.638069,0.4510,0.2470,-0.4650,0.693
0.643531,0.3750,0.2800,-0.5570,0.728
0.646792,0.2470,0.3400,-0.6220,0.751
