time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001145,0.2277,0.5182,0.0046,0.566
0.001524,0.1730,0.5607,0.0566,0.590
0.006640,0.1385,0.5701,0.1601,0.608
0.012354,0.1365,0.5512,0.2816,0.634
0.020882,0.1752,0.4995,0.3499,0.634
0.021913,0.2061,0.4198,0.3418,0.579
0.030742,0.2625,0.3411,0.2488,0.497
0.032063,0.4060,0.2495,0.0478,0.479
0.041184,1.6752,-0.3621,-0.1085,1.717
0.041768,1.3189,-0.2410,-0.4055,1.401
0.046707,0.9516,0.2209,-0.2492,1.008
0.051724,0.6407,0.3232,-0.3790,0.812
0.057204,0.2584,0.3585,-0.5077,0.673
0.063050,0.1336,0.3798,-0.5881,0.713
0.067095,0.2311,0.3537,-0.6063,0.739
0.075107,0.3545,0.3615,-0.6579,0.830
0.076528,0.5126,0.3178,-0.6998,0.924
0.084404,0.6995,0.2282,-0.6514,0.983
0.086407,0.8432,0.1641,-0.5514,1.021
0.091651,0.9529,0.1108,-0.3766,1.031
0.097101,1.0006,0.0773,-0.2982,1.047
0.101580,1.3098,-0.5248,-0.3821,1.462
0.106688,1.4614,-0.5185,-0.1188,1.555
0.112094,1.3320,0.1232,0.6596,1.491
0.117490,1.1265,0.2930,0.7052,1.361
0.122815,0.6995,0.2464,0.3755,0.831
0.129938,0.2635,0.2224,0.2528,0.428
0.133035,-0.0151,0.2542,0.3542,0.436
0.143353,-0.1062,0.2946,0.5308,0.616
0.144080,-0.0656,0.3487,0.6682,0.757
0.152473,0.0144,0.3499,0.7001,0.783
0.153070,0.1052,0.3171,0.6466,0.728
0.158393,0.1743,0.2315,0.4987,0.577
0.164579,0.1991,0.1409,0.3378,0.417
0.167916,0.2040,0.1169,0.2117,0.316
0.176119,0.1800,0.1548,0.1151,0.264
0.178333,0.1176,0.2161,0.0146,0.246
0.185451,0.0412,0.2631,-0.0755,0.277
0.188626,-0.0397,0.3056,-0.1412,0.339
0.192353,-0.1155,0.3434,-0.1730,0.402
0.199580,-0.1717,0.3816,-0.1762,0.454
0.203401,-0.1796,0.3866,-0.1841,0.464
0.208355,-0.1397,0.3492,-0.1445,0.403
0.212886,0.0415,0.1557,0.2177,0.271
0.219256,0.2460,-0.0415,0.8905,0.925
0.223640,-0.0049,0.2641,0.8885,0.927
0.230261,-0.2632,0.4648,0.4260,0.683
0.232960,-0.3467,0.4533,-0.0944,0.578
0.241299,-0.3711,0.4375,-0.3588,0.677
0.243252,-0.4330,0.4808,-0.3742,0.747
0.247800,-0.4902,0.5166,-0.2947,0.771
0.255060,-0.5335,0.5303,-0.2159,0.783
0.258462,-0.5101,0.5398,-0.1473,0.757
0.264020,-0.4578,0.4969,-0.0318,0.676
0.267921,-0.3765,0.4302,0.0590,0.575
0.274017,-0.2665,0.3353,0.1063,0.441
0.278729,-0.1660,0.2218,0.2006,0.342
0.287559,-0.1040,0.1898,0.2704,0.346
0.288180,-0.0942,0.1905,0.3016,0.369
0.296804,-0.0791,0.1618,0.3517,0.395
0.298679,-0.0118,0.0941,0.4068,0.418
0.303713,0.0496,0.0777,0.4189,0.429
0.311177,0.0618,0.0981,0.4026,0.419
0.313768,0.0630,0.1268,0.3151,0.345
0.320120,0.0622,0.1544,0.1570,0.229
0.324150,0.0218,0.1952,-0.0758,0.211
0.330873,-0.0384,0.2407,-0.3121,0.396
0.333005,-0.0982,0.2812,-0.5517,0.627
0.342676,-0.1621,0.2980,-0.7185,0.795
0.344463,-0.2011,0.3295,-0.8462,0.930
0.353213,-0.2345,0.3474,-0.9305,1.021
0.356583,-0.2243,0.3660,-1.0143,1.101
0.365994,-0.2088,0.3660,-1.0169,1.101
0.366944,-0.1737,0.3428,-1.0243,1.094
0.369274,-0.1153,0.3346,-0.9936,1.055
0.376030,-0.0956,0.3316,-0.9680,1.028
0.379548,-0.0908,0.3098,-0.8901,0.947
0.387839,-0.0865,0.2787,-0.8699,0.918
0.390579,-0.0688,0.2811,-0.8640,0.911
0.398378,-0.0710,0.3021,-0.8724,0.926
0.399150,-0.0499,0.3180,-0.9759,1.028
0.403263,-0.0150,0.3048,-1.0836,1.126
0.408788,0.0293,0.2869,-1.2050,1.239
0.413432,0.0596,0.2980,-1.3496,1.383
0.419477,0.0715,0.3287,-1.4364,1.475
0.423676,0.0796,0.3407,-1.4561,1.498
0.429495,0.1030,0.3531,-1.4854,1.530
0.433883,0.1226,0.3611,-1.4671,1.516
0.441210,0.1145,0.3834,-1.4537,1.508
0.443352,0.0833,0.4104,-1.4310,1.491
0.451868,0.0528,0.4184,-1.4037,1.466
0.453958,0.0606,0.4454,-1.3337,1.407
0.458791,-0.1098,0.4048,-0.6210,0.749
0.463952,-0.2071,0.3768,-0.2214,0.484
0.468878,-0.0429,0.4520,-1.0525,1.146
0.474638,0.1650,0.4597,-1.6029,1.676
0.479899,0.1825,0.5195,-1.4266,1.529
0.485890,0.1525,0.5647,-1.2750,1.403
0.489045,0.2571,0.5481,-1.5482,1.662
0.496611,0.3489,0.5322,-1.7107,1.825
0.499493,0.4183,0.5265,-1.6201,1.754
0.509532,0.3935,0.5309,-1.5396,1.675
0.510413,0.4175,0.5167,-1.4644,1.608
0.513182,0.4654,0.4839,-1.3326,1.492
0.519382,0.4654,0.4372,-1.1776,1.340
0.523838,0.4936,0.3525,-1.0615,1.223
0.529834,0.5404,0.2823,-1.0222,1.190
0.534816,0.6059,0.2310,-1.0211,1.210
0.540599,0.6381,0.1894,-1.0630,1.254
0.544599,0.6804,0.1528,-1.0952,1.298
0.552796,0.6952,0.1121,-1.1083,1.313
0.553942,0.6971,0.0862,-1.0405,1.255
0.564074,0.6909,0.0557,-0.8872,1.126
0.565115,0.6713,0.0250,-0.7014,0.971
0.569228,0.6616,0.0078,-0.4592,0.805
0.574270,0.6322,0.0132,-0.2561,0.682
0.581188,0.6540,0.0026,-0.1633,0.674
0.585173,0.6546,0.0044,-0.1373,0.669
0.590197,0.6293,0.0282,-0.2303,0.671
0.595554,0.6597,0.0360,-0.4417,0.795
0.599463,0.6740,0.0569,-0.6327,0.926
0.608929,0.6105,0.1011,-0.8323,1.037
0.611137,0.5702,0.1404,-1.0357,1.191
0.615025,0.5342,0.1753,-1.2572,1.377
0.621507,0.4744,0.1823,-1.4207,1.509
0.624747,0.3914,0.1762,-1.4739,1.535
0.631695,0.3379,0.1568,-1.4412,1.489
0.635989,0.3279,0.0910,-1.3803,1.422
0.641451,0.3380,0.0170,-1.3580,1.400
0.644808,0.3776,-0.0700,-1.2502,1.308
0.652453,0.4515,-0.1749,-1.0906,1.193
0.655315,0.5358,-0.2932,-0.8794,1.071
0.663456,0.4677,-0.3536,-0.6359,0.865
0.664549,0.4437,-0.4569,-0.4363,0.772
0.670723,0.5159,-0.5844,-0.1660,0.797
0.676108,0.5928,-0.6745,0.1176,0.906
0.680525,0.5694,-0.7371,0.3049,0.980
0.685842,0.5320,-0.7726,0.4726,1.050
0.691093,0.5378,-0.7479,0.6017,1.100
0.696729,0.4815,-0.6108,0.6830,1.035
0.699555,0.3586,-0.3945,0.6306,0.826
0.707977,0.2221,-0.1082,0.5548,0.607
0.711739,0.0864,0.2014,0.4268,0.480
0.720957,-0.0628,0.5164,0.3706,0.639
0.723123,-0.0971,0.7426,0.3475,0.826
0.726187,-0.2374,0.9201,0.3810,1.024
0.730934,-0.3939,1.0311,0.5090,1.215
0.735899,-0.4625,0.9624,0.6878,1.270
0.741929,-0.4385,0.7056,0.9458,1.259
0.746442,-0.3405,0.2708,1.2684,1.341
0.752323,-0.2386,-0.2708,1.7128,1.750
0.756285,-0.1985,-0.8440,2.2740,2.434
0.762823,-0.2149,-1.4026,2.9566,3.279
0.765931,-0.2723,-1.9203,3.7174,4.193
0.770347,-0.2992,-2.3803,4.5376,5.133
0.776050,-0.2768,-2.7046,5.3886,6.036
0.781125,-0.1911,-2.8866,6.1754,6.819
0.785442,-0.0572,-2.9204,6.7888,7.390
0.791380,0.0765,-2.8325,7.1201,7.663
0.796807,0.2136,-2.6054,6.9513,7.427
0.802850,0.2759,-2.1429,6.1792,6.546
0.814213,0.1911,-1.5328,5.0396,5.271
0.815446,0.0586,-0.9951,3.6906,3.823
0.816081,0.0074,-0.5195,2.2706,2.329
0.820324,0.0286,-0.0964,0.9652,0.970
0.825752,0.0670,0.2013,-0.0408,0.216
0.831184,0.1294,0.3468,-0.6439,0.743
0.836069,0.1513,0.3598,-0.7790,0.871
0.841027,0.0924,0.1962,-0.4574,0.506
0.847115,-0.0020,-0.1031,0.1432,0.176
0.851388,-0.1600,-0.3686,0.9027,0.988
0.855782,-0.3868,-0.5509,1.6399,1.773
0.861081,-0.6024,-0.7335,2.3839,2.566
0.865668,-0.7860,-0.9179,2.9824,3.218
0.872022,-0.9162,-1.0717,3.3742,3.657
0.876008,-0.9477,-1.1669,3.5219,3.829
0.881382,-0.9496,-1.1750,3.5076,3.819
0.886250,-0.9329,-1.1249,3.2985,3.608
0.891685,-0.8981,-1.0207,2.9048,3.207
0.896064,-0.8595,-0.8759,2.4128,2.707
0.901780,-0.8548,-0.6800,1.8990,2.191
0.906677,-0.8969,-0.4278,1.4397,1.749
0.910465,-0.9557,-0.1715,1.0298,1.415
0.916383,-0.9867,0.0748,0.6883,1.205
0.920659,-1.0123,0.3017,0.4290,1.140
0.925823,-1.0267,0.5042,0.2421,1.169
0.931167,-0.9912,0.6872,0.0654,1.208
0.936354,-0.8962,0.7933,-0.0631,1.198
0.941347,-0.7751,0.8705,-0.1769,1.179
0.946550,-0.6520,0.9096,-0.3095,1.161
0.951564,-0.5465,0.9253,-0.4180,1.153
0.955997,-0.4497,0.9034,-0.4593,1.109
0.965337,-0.3911,0.8632,-0.4864,1.065
0.966419,-0.3521,0.8095,-0.5134,1.021
0.972160,-0.3236,0.7375,-0.5166,0.957
0.976024,-0.3107,0.6567,-0.5102,0.888
0.981429,-0.2801,0.5764,-0.4943,0.809
0.986932,-0.3271,0.4776,-0.5262,0.782
0.992039,-0.3457,0.3553,-0.5961,0.775
0.998293,-0.3308,0.2478,-0.6754,0.792
1.001550,-0.3205,0.1077,-0.8022,0.871
1.008400,-0.3190,-0.0601,-0.9000,0.957
1.011667,-0.2831,-0.2314,-0.9451,1.013
1.017504,-0.2602,-0.4254,-0.9664,1.087
1.021412,-0.2413,-0.5848,-0.9400,1.133
1.028295,-0.2121,-0.7289,-0.9376,1.206
1.031394,-0.2014,-0.8531,-0.9592,1.299
1.037120,-0.2233,-0.9529,-0.9616,1.372
1.041963,-0.2727,-1.0235,-0.9546,1.426
1.046155,-0.3496,-1.0605,-0.9333,1.455
1.051918,-0.4158,-1.0880,-0.9073,1.476
1.057309,-0.4954,-1.1157,-0.8767,1.503
1.061847,-0.5793,-1.1058,-0.8460,1.508
1.068160,-0.6581,-1.0872,-0.8392,1.523
1.072250,-0.7132,-1.0598,-0.8849,1.554
1.076303,-0.7448,-1.0281,-0.9446,1.582
1.082881,-0.7200,-0.9728,-1.0232,1.585
1.087391,-0.6913,-0.9225,-1.1302,1.614
1.092251,-0.6681,-0.8577,-1.2273,1.640
1.097101,-0.6694,-0.7739,-1.3527,1.696
1.102497,-0.6761,-0.6895,-1.4779,1.765
1.107460,-0.6452,-0.6235,-1.5884,1.824
1.112221,-0.6247,-0.5756,-1.6558,1.861
1.117320,-0.5999,-0.5216,-1.6754,1.854
1.122421,-0.5609,-0.4905,-1.6664,1.825
1.127973,-0.5173,-0.4442,-1.6242,1.761
1.131727,-0.4834,-0.4116,-1.5440,1.669
1.137268,-0.4257,-0.3835,-1.4498,1.559
1.142521,-0.3488,-0.3980,-1.3798,1.478
1.148371,-0.2618,-0.4075,-1.3435,1.428
1.151492,-0.1973,-0.4073,-1.3121,1.388
1.157469,-0.2083,-0.4357,-1.1758,1.271
1.162565,-0.1516,-0.3928,-0.9874,1.073
1.166866,-0.1380,-0.3793,-0.8472,0.938
1.173099,-0.1676,-0.3717,-0.7360,0.841
1.181632,-0.1836,-0.3270,-0.6488,0.749
1.183405,-0.2198,-0.2645,-0.6000,0.692
1.188242,-0.2377,-0.2032,-0.5846,0.663
1.192617,-0.2607,-0.1382,-0.5739,0.645
1.198027,-0.3937,-0.1030,-0.6156,0.738
1.203141,-0.7268,-0.0926,-0.6619,0.987
1.208745,-0.4478,0.0128,-0.7224,0.850
1.215224,-0.1419,-0.0064,-0.7397,0.753
1.218467,-0.1520,-0.0353,-0.7807,0.796
1.223267,-0.3908,0.0074,-0.7501,0.846
1.228436,-0.4323,0.0307,-0.7625,0.877
1.232727,-0.3014,-0.0035,-0.7701,0.827
1.238662,-0.2472,-0.0331,-0.6726,0.717
1.243020,-0.3176,0.0227,-0.5467,0.633
1.248495,-0.3882,0.0872,-0.4689,0.615
1.253161,-0.4351,0.0980,-0.4819,0.657
1.257952,-0.4393,0.0890,-0.5091,0.678
1.263392,-0.4394,0.1272,-0.5504,0.716
1.268228,-0.4637,0.1649,-0.6108,0.784
1.272615,-0.4740,0.1978,-0.6996,0.868
1.277661,-0.4461,0.2453,-0.7881,0.938
1.283436,-0.4324,0.2887,-0.8479,0.995
1.287765,-0.4277,0.3280,-0.8694,1.023
1.292801,-0.4031,0.3490,-0.8146,0.974
1.298372,-0.4110,0.3899,-0.7313,0.925
1.304409,-0.4228,0.3931,-0.6102,0.840
1.309333,-0.4433,0.3967,-0.4466,0.744
1.313195,-0.4585,0.3814,-0.2834,0.660
1.318564,-0.5071,0.3754,-0.1206,0.642
1.324092,-0.5513,0.3880,0.0179,0.674
1.329711,-0.6009,0.3805,0.1370,0.724
1.333147,-0.6418,0.3671,0.2224,0.772
1.337941,-0.6645,0.3623,0.2600,0.800
1.343267,-0.6644,0.3563,0.2308,0.788
1.348486,-0.6843,0.3686,0.1349,0.789
1.353287,-0.7336,0.3943,0.0442,0.834
1.358291,-0.7597,0.4099,-0.0415,0.864
1.363742,-0.7955,0.4395,-0.1077,0.915
1.369759,-0.7976,0.4544,-0.1738,0.934
1.372504,-0.8043,0.4927,-0.2062,0.966
1.379166,-0.7820,0.5116,-0.2338,0.963
1.384454,-0.7789,0.5254,-0.2374,0.969
1.387938,-0.7618,0.5437,-0.2313,0.964
1.392880,-0.7168,0.5425,-0.2253,0.927
1.397956,-0.7013,0.5457,-0.2287,0.918
1.404582,-0.7055,0.5391,-0.2465,0.921
1.409641,-0.7250,0.5432,-0.3193,0.961
1.413373,-0.7441,0.5421,-0.3963,1.002
1.425541,-0.7582,0.5406,-0.4536,1.036
1.427110,-0.7721,0.5248,-0.4630,1.042
1.427818,-0.7860,0.4899,-0.4674,1.037
1.433769,-0.7950,0.4358,-0.4765,1.024
1.439564,-0.7850,0.3673,-0.4997,1.000
1.444185,-0.7560,0.2890,-0.5654,0.987
1.450412,-0.7553,0.2201,-0.6589,1.026
1.453735,-0.7822,0.1607,-0.7563,1.100
1.461625,-0.8076,0.1298,-0.8766,1.199
1.463268,-0.8549,0.1370,-0.9865,1.313
1.468553,-0.8764,0.1252,-1.0764,1.394
1.473763,-0.8914,0.1327,-1.0992,1.421
1.478467,-0.8814,0.1216,-1.0506,1.377
1.483502,-0.8610,0.1395,-0.9834,1.315
1.488436,-0.8403,0.1291,-0.8884,1.230
1.494284,-0.7959,0.0764,-0.7657,1.107
1.498681,-0.7472,0.0150,-0.6156,0.968
1.504869,-0.6847,-0.0220,-0.3670,0.777
1.508813,-0.6129,-0.0403,0.0031,0.614
1.513468,-0.5027,-0.0219,0.3940,0.639
1.523209,-0.3969,0.0464,0.7107,0.815
1.525137,-0.3286,0.1163,0.9111,0.976
1.535787,-0.2792,0.1977,0.9203,0.982
1.537205,-0.2447,0.2446,0.7206,0.799
1.538601,-0.2552,0.2829,0.4417,0.583
1.543723,-0.3157,0.2489,0.1361,0.424
1.549998,-0.2983,0.1741,-0.1155,0.364
1.553938,-0.2600,-0.0056,-0.2380,0.353
1.558770,-0.2087,-0.3644,-0.1376,0.442
1.563819,-0.0422,-0.8490,0.2600,0.889
1.568884,0.2360,-1.3605,0.9572,1.680
1.573497,0.5505,-1.8206,2.0044,2.763
1.579423,0.7922,-2.1898,3.2709,4.015
1.584094,0.9292,-2.4901,4.5922,5.306
1.589394,1.0934,-2.7446,5.8731,6.574
1.593566,1.2674,-2.8411,6.8273,7.503
1.598916,1.3954,-2.7819,7.2791,7.916
1.608385,1.5272,-2.6197,7.1817,7.796
1.609952,1.5696,-2.3287,6.5172,7.096
1.615181,1.4739,-1.9157,5.4919,6.000
1.620407,1.2933,-1.5251,4.3166,4.757
1.624581,1.1058,-1.1722,3.0629,3.461
1.628855,0.9046,-0.8444,1.8452,2.222
1.634391,0.7213,-0.5441,0.8733,1.257
1.638772,0.5634,-0.3604,0.2849,0.727
1.644033,0.4571,-0.2786,0.0265,0.536
1.649637,0.3472,-0.2990,0.1547,0.484
1.653794,0.3883,-0.4237,0.5828,0.818
1.661115,0.4991,-0.5830,1.3248,1.531
1.664973,0.6353,-0.7178,2.1652,2.368
1.669352,0.7804,-0.7970,2.8941,3.102
1.674575,0.9562,-0.8320,3.4593,3.684
1.679625,1.1076,-0.8239,3.8040,4.047
1.684112,1.2462,-0.7542,3.9431,4.204
1.688968,1.3366,-0.5894,3.8437,4.112
1.694585,1.3297,-0.3769,3.4919,3.755
1.699383,1.2781,-0.1396,2.9789,3.245
1.710283,1.1918,0.0807,2.3289,2.617
1.711591,1.0864,0.3094,1.6327,1.985
1.714334,0.9493,0.5052,0.9430,1.430
1.720750,0.8014,0.6690,0.2976,1.086
1.724742,0.6783,0.8114,-0.2940,1.098
1.729231,0.5866,0.9093,-0.7987,1.345
1.734141,0.5038,0.9444,-1.2072,1.613
1.739595,0.4405,0.9173,-1.4674,1.786
1.744342,0.3208,0.8571,-1.6083,1.850
1.749482,0.2599,0.7306,-1.7114,1.879
1.754663,0.2429,0.5426,-1.4854,1.600
1.761576,0.2969,0.2495,-1.0980,1.164
1.765373,0.3198,-0.0252,-0.6401,0.716
1.770316,0.3629,-0.2495,-0.0688,0.446
1.775497,0.4053,-0.4586,0.4965,0.788
1.780153,0.4121,-0.6299,0.9844,1.239
1.785701,0.3827,-0.7550,1.3664,1.607
1.790730,0.3455,-0.8590,1.6382,1.882
1.795877,0.3192,-0.9137,1.8237,2.065
1.800096,0.3085,-0.9008,1.9330,2.155
1.810658,0.3131,-0.8400,1.9278,2.126
1.812086,0.3144,-0.7410,1.7416,1.919
1.814760,0.3034,-0.6035,1.3985,1.553
1.820329,0.3002,-0.4363,0.9276,1.068
1.824931,0.2915,-0.2481,0.4007,0.554
1.830820,0.3020,-0.0709,-0.1154,0.331
1.835257,0.3323,0.1107,-0.5635,0.663
1.839974,0.3351,0.2450,-0.9248,1.014
1.844983,0.3300,0.3612,-1.2041,1.300
1.850828,0.3271,0.4265,-1.4401,1.537
1.855377,0.3260,0.4794,-1.5994,1.701
1.861719,0.3317,0.4868,-1.6678,1.769
1.866353,0.3583,0.4537,-1.6838,1.780
1.871243,0.3959,0.3562,-1.6188,1.704
1.875357,0.4297,0.2326,-1.4968,1.575
1.881693,0.4880,0.0633,-1.2654,1.358
1.885609,0.5227,-0.1189,-1.0059,1.140
1.892090,0.5337,-0.2669,-0.7995,0.998
1.896679,0.5302,-0.3814,-0.6079,0.892
1.901173,0.5030,-0.4772,-0.4644,0.834
1.906474,0.4854,-0.5353,-0.3784,0.816
1.911694,0.4489,-0.5847,-0.3642,0.822
1.921706,0.4080,-0.6300,-0.3787,0.841
1.923519,0.3579,-0.6330,-0.3835,0.822
1.925433,0.2792,-0.6033,-0.3786,0.765
1.932851,0.2148,-0.5552,-0.3594,0.695
1.935417,0.1641,-0.4792,-0.3497,0.616
1.940815,0.1317,-0.3993,-0.3542,0.550
1.945522,0.1126,-0.2916,-0.3491,0.469
1.950899,0.1262,-0.1704,-0.3774,0.433
1.955168,0.1439,-0.0502,-0.4151,0.442
1.960733,0.1516,0.0547,-0.4575,0.485
1.965547,0.1830,0.1493,-0.5141,0.566
1.973354,0.2094,0.2477,-0.5609,0.648
1.977151,0.2309,0.3356,-0.5980,0.724
1.981198,0.2526,0.4034,-0.6446,0.801
1.986162,0.2695,0.4701,-0.6910,0.878
1.992905,0.2819,0.5215,-0.7707,0.972
1.996264,0.2992,0.5766,-0.8454,1.066
2.001617,0.2831,0.6310,-0.9151,1.147
2.006668,0.2481,0.6799,-1.0038,1.237
2.011291,0.2035,0.7236,-1.1018,1.334
2.021118,0.1492,0.7526,-1.1948,1.420
2.022825,0.1044,0.7533,-1.2877,1.495
2.035298,0.0544,0.7447,-1.3421,1.536
2.036677,0.0186,0.7178,-1.4061,1.579
2.037596,0.0016,0.6775,-1.4222,1.575
2.040740,0.0272,0.6095,-1.3762,1.505
2.046269,0.0953,0.5088,-1.3208,1.419
2.051179,0.1728,0.4087,-1.2321,1.310
2.056186,0.2265,0.3087,-1.1244,1.188
2.061085,0.2806,0.2130,-1.0122,1.072
2.066367,0.3112,0.1311,-0.8905,0.952
2.071258,0.3420,0.0626,-0.7929,0.866
2.077844,0.3869,0.0310,-0.7146,0.813
2.083119,0.4218,0.0172,-0.6888,0.808
2.086818,0.4464,-0.0029,-0.6916,0.823
2.091987,0.4797,0.0183,-0.7468,0.888
2.099210,0.4976,0.0574,-0.8544,0.990
2.101605,0.5003,0.1143,-0.9759,1.103
2.108078,0.4831,0.1894,-1.1114,1.227
2.111258,0.4656,0.2446,-1.2801,1.384
2.119211,0.4722,0.3138,-1.4293,1.538
2.122392,0.4504,0.3639,-1.5590,1.663
2.129058,0.4531,0.4189,-1.6456,1.757
2.132562,0.4227,0.4505,-1.6890,1.798
2.136925,0.4165,0.4634,-1.7037,1.814
2.142420,0.4103,0.4673,-1.6945,1.805
2.147591,0.4280,0.4476,-1.6471,1.760
2.152632,0.4313,0.4188,-1.6046,1.714
2.157121,0.4633,0.3853,-1.5574,1.670
2.162165,0.4956,0.3517,-1.5008,1.619
2.168357,0.5137,0.3083,-1.4585,1.577
2.173620,0.5319,0.2791,-1.3972,1.521
2.176345,0.5264,0.2543,-1.3551,1.476
2.183790,0.5306,0.2434,-1.2939,1.419
2.187850,0.5442,0.2032,-1.2471,1.376
2.192423,0.5721,0.1623,-1.2146,1.352
2.198559,0.5901,0.1301,-1.2298,1.370
2.201736,0.6125,0.0827,-1.2545,1.398
2.211593,0.6343,0.0489,-1.3267,1.471
2.213218,0.6270,0.0384,-1.4322,1.564
2.225046,0.6146,0.0372,-1.5852,1.701
2.226236,0.5590,0.0598,-1.6996,1.790
2.226960,0.4990,0.0683,-1.8520,1.919
2.231539,0.4539,0.0873,-2.0426,2.094
2.237002,0.4049,0.1171,-2.1612,2.202
2.243196,0.3856,0.1201,-2.2034,2.240
2.247014,0.3722,0.0962,-2.1645,2.198
2.252457,0.3455,0.0600,-2.0448,2.075
2.257820,0.3389,0.0206,-1.8060,1.838
2.262238,0.3140,-0.0126,-1.5200,1.552
2.268557,0.2991,-0.0451,-1.2347,1.271
2.273742,0.2748,-0.0818,-0.9452,0.988
2.277935,0.2744,-0.1230,-0.7136,0.774
2.284204,0.2689,-0.2068,-0.4968,0.602
2.287566,0.2492,-0.2521,-0.3234,0.480
2.293277,0.2204,-0.3020,-0.1504,0.403
2.297367,0.1734,-0.3135,0.0461,0.361
2.302329,0.1428,-0.2965,0.2327,0.403
2.308983,0.1569,-0.1895,0.6531,0.698
2.312804,0.0905,-0.0407,0.8961,0.902
2.320784,0.0531,0.1580,1.0365,1.050
2.322683,0.0014,0.3542,1.0572,1.115
2.327088,-0.1177,0.5250,0.9876,1.125
2.332502,-0.2591,0.6383,0.8288,1.078
2.339688,-0.3605,0.6732,0.6031,0.973
2.344071,-0.3786,0.5838,0.3629,0.785
2.348966,-0.2697,0.3043,0.2039,0.455
2.352895,-0.0752,-0.1357,0.2690,0.311
2.358366,0.1155,-0.6698,0.6583,0.946
2.362659,0.2661,-1.2137,1.3380,1.826
2.368960,0.3686,-1.5934,2.3173,2.836
2.372869,0.3999,-1.6985,3.5150,3.924
2.378506,0.2883,-1.4666,4.5296,4.770
2.384122,-0.0440,-1.0823,5.0940,5.208
2.387861,-0.5376,-0.5644,4.7789,4.842
2.394182,-1.0199,-0.0187,3.9345,4.065
2.397974,-1.3523,0.4274,2.8481,3.182
2.403508,-1.5653,0.7044,1.4667,2.258
2.407897,-1.5239,0.7086,0.2203,1.695
2.412681,-1.2618,0.3725,-0.4999,1.407
2.421559,-0.7596,-0.4509,-0.3746,0.960
2.423427,-0.0418,-1.5342,0.7240,1.697
2.434739,0.5064,-2.4287,2.3362,3.408
2.436242,0.8047,-3.1221,4.2659,5.347
2.441849,0.9618,-3.7072,6.3649,7.428
2.444563,0.9133,-4.0507,8.0741,9.079
2.449158,0.7582,-4.1910,9.3466,10.271
2.457144,0.5422,-4.1171,10.1113,10.931
2.458373,0.3295,-3.8404,10.4266,11.116
2.468086,0.1450,-3.3894,10.2453,10.792
2.469514,-0.0331,-2.7719,9.4342,9.833
2.478675,-0.1920,-2.0994,8.2430,8.508
2.479470,-0.3127,-1.4736,6.9876,7.148
2.484609,-0.3935,-0.8385,5.7205,5.795
2.490622,-0.4330,-0.1583,4.5613,4.585
2.493255,-0.4720,0.5401,3.6338,3.704
2.499252,-0.4465,1.0947,2.9567,3.184
2.504136,-0.3597,1.5207,2.3430,2.816
2.511697,-0.2480,1.8521,1.7830,2.583
2.514651,-0.1384,2.1087,1.3051,2.484
2.518549,-0.0489,2.2334,0.9329,2.421
2.523151,0.0208,2.2364,0.6422,2.327
2.529087,0.0990,2.1278,0.4330,2.174
2.534660,0.0846,1.9986,0.2715,2.019
2.540735,0.0821,1.8152,0.1864,1.827
2.544699,0.0901,1.5679,0.2542,1.591
