time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002676,0.3880,0.2640,-0.8660,0.985
0.003082,0.4580,0.2820,-1.1920,1.308
0.003450,0.5670,0.2850,-1.2590,1.410
0.011198,0.7450,0.2550,-1.1780,1.417
0.011999,0.7840,0.2140,-0.8780,1.196
0.016539,0.7050,0.1380,-0.4430,0.844
0.021744,0.6410,0.0210,-0.0080,0.641
0.026290,0.6500,-0.0920,0.3990,0.768
0.032469,0.6610,-0.2190,0.7930,1.055
0.035708,0.6720,-0.2960,1.0910,1.315
0.040417,0.6400,-0.3240,1.2670,1.456
0.045028,0.5330,-0.3140,1.3620,1.496
0.049690,0.4290,-0.2640,1.3610,1.451
0.054550,0.3740,-0.2130,1.3060,1.375
0.061361,0.3020,-0.1650,1.1550,1.205
0.065339,0.2060,-0.0660,1.0050,1.028
0.068742,0.0990,0.0300,0.8280,0.834
0.073762,0.0180,0.1330,0.6510,0.665
0.078188,-0.0200,0.1990,0.4610,0.503
0.082689,-0.1280,0.2630,0.3250,0.437
0.087683,-0.2520,0.3400,0.2300,0.482
0.093026,-0.3550,0.4420,0.1770,0.594
0.098180,-0.3720,0.5540,0.0960,0.674
0.102182,-0.2980,0.7080,-0.0520,0.770
0.106778,-0.2390,0.7940,-0.2430,0.864
0.111713,-0.1690,0.7950,-0.4560,0.932
0.116287,-0.1650,0.7930,-0.6460,1.036
0.121018,-0.2440,0.7850,-0.7820,1.135
0.127472,-0.3490,0.7370,-0.8770,1.198
0.131425,-0.4230,0.6640,-0.9270,1.216
0.135785,-0.4700,0.5990,-0.9130,1.189
0.139480,-0.4510,0.5150,-0.8440,1.087
0.145045,-0.4600,0.4740,-0.7220,0.979
0.152876,-0.3980,0.3900,-0.5830,0.806
0.153981,-0.3740,0.3340,-0.4330,0.663
0.158762,-0.3650,0.3370,-0.3380,0.601
0.164517,-0.3830,0.3000,-0.2700,0.556
0.168465,-0.3750,0.2830,-0.2150,0.517
0.173320,-0.3750,0.3260,-0.1880,0.531
0.177818,-0.3500,0.3430,-0.1880,0.525
0.182153,-0.3520,0.3870,-0.2290,0.571
0.187151,-0.3180,0.4150,-0.2680,0.588
0.191839,-0.3180,0.4410,-0.2950,0.619
0.197491,-0.3480,0.4160,-0.2820,0.611
0.201285,-0.3660,0.3910,-0.2270,0.582
0.206049,-0.3480,0.3290,-0.1570,0.504
0.211062,-0.3130,0.2730,-0.0620,0.420
0.215660,-0.2810,0.2330,0.0190,0.366
0.220494,-0.2230,0.2060,0.0870,0.316
0.225067,-0.1420,0.1680,0.1010,0.242
0.230405,-0.0960,0.1520,0.1420,0.229
0.235030,-0.0920,0.1100,0.2110,0.255
0.238943,-0.1010,0.1080,0.2380,0.280
0.244325,-0.1160,0.0610,0.2390,0.273
0.253278,-0.1230,0.0710,0.2120,0.255
0.253877,-0.1310,0.0390,0.1710,0.219
0.258413,-0.1250,0.0200,0.1170,0.172
0.263983,-0.0850,0.0390,0.0640,0.113
0.267537,-0.0370,0.0320,-0.0440,0.066
0.272355,0.0780,0.0670,-0.1380,0.172
0.277402,0.1940,0.0750,-0.2470,0.323
